,date,country,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration_sec,sunshine_duration_sec,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
38,2010-02-08 00:00:00+00:00,Malaysia,63.0,27.431,22.480999,24.070581,33.12854,27.296515,29.499052,0,0,43294.906,16544.723,17.199999,17.199999,10.0,4.072935,18.0,66.801384,8.94,1.791743
39,2010-02-09 00:00:00+00:00,Malaysia,51.0,31.380999,22.980999,26.031004,38.061234,27.296618,30.905579,0,0,43301.48,37442.16,1.6,1.6,6.0,11.4862,27.359999,3.9451082,22.22,4.6089587
40,2010-02-10 00:00:00+00:00,Malaysia,51.0,32.581,22.931,26.510168,37.717846,27.074972,31.181559,0,0,43308.113,40512.254,1.2,1.2,6.0,8.669949,18.72,351.81754,22.39,4.687983
41,2010-02-11 00:00:00+00:00,Malaysia,53.0,30.980999,22.581,26.014334,37.625877,27.426056,31.335648,0,0,43314.797,40123.895,1.7,1.7,7.0,5.95906,20.880001,327.88818,21.54,4.3874726
42,2010-02-12 00:00:00+00:00,Malaysia,61.0,29.681,22.081,25.297667,35.61511,26.329493,30.142921,0,0,43321.527,39931.54,3.0,3.0,7.0,11.090103,30.960001,318.89377,18.6,3.7689817
43,2010-02-13 00:00:00+00:00,Malaysia,63.0,30.031,22.130999,24.914335,35.820168,26.666977,29.936865,0,0,43328.29,36171.848,10.499999,10.499999,8.0,8.049845,27.359999,30.579184,17.46,3.535247
44,2010-02-14 00:00:00+00:00,Malaysia,61.0,31.281,22.230999,25.876833,38.745975,26.46368,31.118217,0,0,43335.082,40040.113,8.9,8.9,14.0,8.766573,21.96,315.8069,22.31,4.596531
45,2010-02-15 00:00:00+00:00,Malaysia,63.0,29.031,22.281,24.408081,34.804455,26.51239,29.27522,0,0,43341.914,34787.24,18.5,18.5,16.0,8.287822,27.359999,332.928,16.66,3.3479536
46,2010-02-16 00:00:00+00:00,Malaysia,61.0,31.031,22.531,25.160164,37.498886,27.113335,30.224878,0,0,43348.836,38199.88,10.3,10.3,14.0,9.220499,20.880001,9.4623165,17.34,3.5700321
47,2010-02-17 00:00:00+00:00,Malaysia,61.0,29.730999,22.531,24.83725,35.889507,27.141922,29.78634,0,0,43355.867,39666.098,11.0,11.0,13.0,9.085988,25.56,18.068518,17.85,3.5872393
48,2010-02-18 00:00:00+00:00,Malaysia,63.0,29.531,22.380999,24.566416,35.29206,26.850267,29.38446,0,0,43362.99,35827.477,9.2,9.2,6.0,7.653705,25.56,18.329514,15.74,3.1398761
49,2010-02-19 00:00:00+00:00,Malaysia,65.0,30.130999,22.480999,25.168497,36.3368,26.863365,30.302414,0,0,43370.203,38538.035,41.899998,41.899998,19.0,6.9247384,23.039999,258.59753,19.63,3.9972005
50,2010-02-20 00:00:00+00:00,Malaysia,63.0,26.431,20.431,22.9685,31.860088,24.02633,27.71044,0,0,43377.496,1397.8585,22.6,22.6,14.0,4.8433046,17.28,271.6022,5.86,1.2278824
51,2010-02-21 00:00:00+00:00,Malaysia,51.0,30.681,22.831,25.635164,35.86762,27.544302,30.386278,0,0,43384.867,39709.63,0.3,0.3,2.0,7.2359104,19.08,1.1232567,20.16,4.121991
52,2010-02-22 00:00:00+00:00,Malaysia,61.0,29.531,22.081,25.220581,35.838455,26.691868,30.305319,0,0,43392.312,39313.625,3.1999998,3.1999998,7.0,5.315336,20.16,345.25638,16.98,3.487554
53,2010-02-23 00:00:00+00:00,Malaysia,53.0,30.031,21.581,25.395584,35.815853,25.79514,30.365969,0,0,43399.816,32440.686,4.7,4.7,14.0,5.3517847,16.199999,43.84972,16.93,3.5118494
54,2010-02-24 00:00:00+00:00,Malaysia,55.0,31.130999,22.980999,25.9685,37.624153,27.72408,31.034813,0,0,43407.38,40138.207,2.2,2.2,6.0,7.5685663,22.319998,349.492,22.9,4.6722836
55,2010-02-25 00:00:00+00:00,Malaysia,51.0,30.831,23.181,26.337255,36.89799,28.356636,31.527792,0,0,43414.992,38238.32,0.90000004,0.90000004,5.0,7.968939,21.96,4.3431716,18.89,3.9049726
56,2010-02-26 00:00:00+00:00,Malaysia,51.0,31.031,23.331,26.601831,36.840446,28.557232,31.8628,0,0,43422.656,36677.938,1.0,1.0,5.0,5.6002855,17.28,347.72122,19.05,4.008451
57,2010-02-27 00:00:00+00:00,Malaysia,61.0,30.531,23.431,25.931005,38.15781,28.2445,31.202276,0,0,43430.355,39597.56,8.3,8.3,15.0,9.1641035,26.64,321.27728,17.65,3.643801
58,2010-02-28 00:00:00+00:00,Malaysia,61.0,29.730999,22.931,25.495583,36.458588,27.879128,31.099747,0,0,43438.086,39984.562,3.1,3.1,8.0,8.287822,24.84,352.21652,18.88,3.7844806
59,2010-03-01 00:00:00+00:00,Malaysia,53.0,28.880999,22.531,25.278921,34.137264,26.99422,30.150917,0,0,43445.85,40018.734,2.3,2.3,11.0,9.504273,29.16,310.67908,18.68,3.7850206
60,2010-03-02 00:00:00+00:00,Malaysia,55.0,29.230999,20.431,24.585169,35.001255,23.98936,29.091553,0,0,43453.633,39746.74,2.1000001,2.1000001,5.0,6.792466,21.24,10.873461,17.05,3.4594662
61,2010-03-03 00:00:00+00:00,Malaysia,3.0,31.480999,21.831,26.068499,36.152462,26.372482,30.647165,0,0,43461.43,40326.87,0.0,0.0,0.0,6.130579,19.44,301.71506,20.7,4.2941985
